	Question
442	how can super low frequencies of electromagnet radiation (eg. radio waves) and super high frequencies of electromagnetic radiation (eg. gamma rays) pass through walls, but the frequencies in between can't?
443	does thinking (your brain) use a detectable/large amount of energy from your body?
444	why do we need a quadrupole "oscillation" to get gravitational waves, but a dipole for electromagnetic waves?
445	what is the difference between the streaks left behind from plane/jet engines that disappear quickly, and the ones that stay there for hours?
446	why aren't there pure atp supplements available on the market as energy boosters? what would happen if you took these?
447	say you have two trumpet players facing each other. if their bells are exactly opposite each other and if they play the exact same pitch, is there a distance apart they can stand to achieve destructive interference (and therefore cancel out the noise)?
448	have we ever observed quantum behaviour on a macro scale?
449	do electrons become more likely to be found in certain places as the temperature approaches 0k?
450	why do the laws of thermodynamics seem to be immutable by time, gravity, etc.?
451	do animals regard machines as other animals and try to bite them, eat them, etc? at what point do they/can they distinguish machines from animals?
452	are palm lines creases formed over time in the womb from clenching our hands or are they like fingerprints and are already formed in our skin?
453	does the order of operations have an deeper significance, or was it a convention that was simply agreed upon?
454	is there any scale where the distribution of electric charge within a neutron is relevant?
455	do you get blackbody radiation from a pure gas?
456	when you drop a pebble in water, you hear a sound wave, and you see ripples along the surface. is the distance between the ripples on the surface the same as the wavelength of the sound wave?
457	why do quasars seem to not be beholden to time dilation?
458	is there a way to use radioactivity to produce energy, other than using the heat it generates?
459	if i throw a ball straight up, how long does it remain perfectly still at its max height before beginning to fall? what factors, if any, affect this length of time?
460	were there calculations for visiting the moon prior to the development of the first rockets?
461	is it possible to find four different numbers a, b, c, d that a*b=c*d and a+b=c+d?
462	what are the relative efficiencies of resting if i can't fall asleep?
463	has their ever been a case of a human training an animal which in turn trained another member of its species to perform a task?
464	why is the human heart located on our left side? shouldn’t it be as centrally located possible?
